age,id,color,intake,sex,time
2 months,A748678,Brown Tabby,Owner Surrender,Male,0.5
3 months,A751170,Calico,Owner Surrender,Male,0.5
2 months,A727766,Orange Tabby,Owner Surrender,Male,0.5
2 years,A665590,Brown Tabby,Stray,Male,0.5
2 months,A679921,Blue,Owner Surrender,Male,0.5
2 months,A733295,Brown Tabby,Owner Surrender,Male,0.5
3 months,A711073,Black and White,Owner Surrender,Male,0.5
2 months,A729320,Brown Tabby,Owner Surrender,Male,0.5
2 months,A734263,Black and White,Owner Surrender,Male,0.5
2 months,A752753,Colourpoint,Owner Surrender,Male,0.5
11 months,A766812,Blue,Owner Surrender,Male,0.5
10 months,A696257,Black and White,Owner Surrender,Male,0.5
1 month,A740821,Black and White,Owner Surrender,Male,0.5
1 year,A700114,Blue,Owner Surrender,Male,0.5
2 months,A763945,Black,Owner Surrender,Male,0.5
3 years,A673789,Colourpoint,Stray,Male,0.5
11 months,A746872,Cream Tabby,Owner Surrender,Female,0.5
1 year,A743551,Orange Tabby,Owner Surrender,Male,0.5
4 months,A686797,Blue,Owner Surrender,Male,0.5
4 months,A731076,Blue,Owner Surrender,Male,0.5
1 year,A667464,Colourpoint,Owner Surrender,Male,0.5
10 months,A743557,Tortie,Owner Surrender,Male,0.5
10 months,A765350,Gray Tabby,Owner Surrender,Male,0.5
1 year,A743556,Orange Tabby,Owner Surrender,Male,0.5
6 months,A668078,Black and White,Owner Surrender,Male,0.5
3 months,A737165,Blue,Owner Surrender,Male,0.5
8 months,A753573,Brown Tabby,Owner Surrender,Male,0.5
4 months,A713451,Black and White,Owner Surrender,Male,0.5
2 months,A725086,Black and White,Owner Surrender,Male,0.5
2 months,A753037,Colourpoint,Owner Surrender,Male,0.5
2 months,A680349,Orange Tabby,Owner Surrender,Male,0.5
1 year,A724944,Brown Tabby,Owner Surrender,Male,0.5
2 years,A743620,Colourpoint,Owner Surrender,Male,0.5
1 year,A743550,Colourpoint,Owner Surrender,Male,0.5
7 years,A652331,Colourpoint,Owner Surrender,Male,0.5
6 months,A696892,Brown Tabby,Owner Surrender,Male,0.5
2 years,A711316,Calico,Owner Surrender,Male,0.5
5 months,A688519,Cream Tabby,Owner Surrender,Male,0.5
2 months,A748681,Blue,Owner Surrender,Male,0.5
2 months,A750994,Brown Tabby,Owner Surrender,Male,0.5
3 months,A695967,Black and White,Owner Surrender,Male,0.5
7 months,A745494,Blue,Owner Surrender,Male,0.5
3 months,A706460,Blue,Owner Surrender,Male,0.5
2 years,A755973,Orange Tabby,Owner Surrender,Male,0.5
2 months,A729471,Tortie,Owner Surrender,Male,0.5
2 months,A763036,Brown Tabby,Owner Surrender,Male,0.5
1 month,A742827,Black,Owner Surrender,Male,0.5
2 months,A719976,Colourpoint,Owner Surrender,Male,0.5
2 months,A719978,Colourpoint,Owner Surrender,Female,0.5
4 years,A765506,Calico,Owner Surrender,Male,0.5
4 years,A731350,Calico,Owner Surrender,Male,0.5
1 month,A728731,Black,Owner Surrender,Male,0.5
3 months,A691649,Calico,Owner Surrender,Male,0.5
1 year,A735500,Brown Tabby,Owner Surrender,Male,0.5
1 year,A750412,Calico,Owner Surrender,Female,0.5
9 months,A744993,Brown Tabby,Owner Surrender,Male,0.5
2 months,A751057,Blue,Owner Surrender,Male,0.5
3 months,A677574,Calico,Owner Surrender,Male,0.5
6 months,A669600,Blue,Owner Surrender,Female,0.5
1 year,A750413,Brown Tabby,Owner Surrender,Male,0.5
4 months,A742468,Black,Owner Surrender,Male,0.5
2 years,A679692,Brown Tabby,Owner Surrender,Male,0.5
2 months,A736282,Blue,Owner Surrender,Male,0.5
7 months,A661949,Brown Tabby,Owner Surrender,Male,0.5
3 months,A748750,Black and White,Owner Surrender,Male,0.5
2 months,A747412,Tortie,Owner Surrender,Male,0.5
1 month,A678670,Brown Tabby,Owner Surrender,Male,0.5
1 year,A663553,Brown Tabby,Owner Surrender,Male,0.5
6 months,A759191,Tortie,Owner Surrender,Male,0.5
2 months,A762323,Brown Tabby,Owner Surrender,Male,0.5
2 years,A760213,Black and White,Owner Surrender,Male,0.5
4 years,A692993,Colourpoint,Owner Surrender,Male,0.5
4 years,A692994,Black,Owner Surrender,Male,0.5
4 months,A742443,Black and White,Owner Surrender,Male,0.5
2 months,A727277,Black,Owner Surrender,Male,0.5
2 months,A727229,Black and White,Owner Surrender,Male,0.5
3 months,A754504,Brown Tabby,Owner Surrender,Male,0.5
2 months,A711852,Cream Tabby,Owner Surrender,Male,0.5
2 months,A732846,Brown Tabby,Owner Surrender,Female,0.5
11 months,A716401,Brown Tabby,Owner Surrender,Male,0.5
9 months,A733791,Blue,Owner Surrender,Male,0.5
4 months,A664440,Tortie,Owner Surrender,Male,0.5
8 months,A702800,Blue,Stray,Male,0.5
4 months,A761058,Blue,Owner Surrender,Male,0.5
3 months,A718514,Cream Tabby,Owner Surrender,Male,0.5
3 years,A713340,Blue,Owner Surrender,Male,0.5
9 months,A693557,Colourpoint,Owner Surrender,Female,0.5
2 months,A733427,Blue,Owner Surrender,Male,0.5
2 months,A734263,Black and White,Owner Surrender,Male,0.5
2 months,A727770,Orange Tabby,Owner Surrender,Male,0.5
2 months,A741668,Black and White,Owner Surrender,Male,0.5
2 months,A683104,Colourpoint,Owner Surrender,Male,0.5
8 months,A708979,Blue,Owner Surrender,Male,0.5
2 months,A753092,Black and White,Owner Surrender,Male,0.5
2 months,A694682,White,Owner Surrender,Male,0.5
7 months,A667355,Brown Tabby,Owner Surrender,Male,1
3 months,A737678,Brown Tabby,Owner Surrender,Male,1
2 months,A736342,Black and White,Owner Surrender,Male,1
3 months,A729697,Brown Tabby,Owner Surrender,Male,1
1 year,A698216,Colourpoint,Owner Surrender,Male,1
4 months,A764345,Calico,Owner Surrender,Male,1
7 years,A753098,Blue,Owner Surrender,Male,1
1 year,A714551,Black,Owner Surrender,Male,1
1 year,A714479,Blue,Owner Surrender,Male,1
7 months,A668633,Brown Tabby,Owner Surrender,Male,1
2 months,A740628,White,Owner Surrender,Male,1
2 months,A736430,Brown Tabby,Owner Surrender,Male,1
2 years,A691736,Brown Tabby,Owner Surrender,Male,1
3 years,A746341,White,Owner Surrender,Male,1
2 months,A701769,Blue,Owner Surrender,Female,1
3 years,A699968,Brown Tabby,Owner Surrender,Male,1
5 years,A757783,Brown Tabby,Owner Surrender,Male,1
7 years,A757784,Calico,Owner Surrender,Male,1
